filename,category,primary_topic,brief_description,absolute_path
Aula 12 - Análise 7 - nicho Saúde.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 12 - Análise 7 - nicho Saúde.md
Aula 13 - Análise 8 - nicho Direito.md,VOICE,niche-analysis: law,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 13 - Análise 8 - nicho Direito.md
Aula 14 - Análise 9 - nicho Fotografia.md,VOICE,niche-analysis: photography,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 14 - Análise 9 - nicho Fotografia.md
Aula 16 - Análise 11 - Vender no Inbox.md,VOICE,inbox-sales,Selling through direct messages,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 16 - Análise 11 - Vender no Inbox.md
Aula 17 - Análise 12 - nicho Hobbies.md,VOICE,niche-analysis: hobbies,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 17 - Análise 12 - nicho Hobbies.md
Aula 18 - Análise 13 - nicho Amamentação + Finalização.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 18 - Análise 13 - nicho Amamentação + Finalização.md
Aula 5 - Stories10x - Exemplos Cátia e Leandro.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 5 - Stories10x - Exemplos Cátia e Leandro.md
Aula 6 - Análise 1 - nicho Desenvolvimento Pessoal.md,VOICE,niche-analysis: personal-development,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 6 - Análise 1 - nicho Desenvolvimento Pessoal.md
Aula 7 - Análise 2 - nicho Emagrecimento.md,VOICE,niche-analysis: weight-loss,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 7 - Análise 2 - nicho Emagrecimento.md
Aula 9 - Análise 4 - nicho Culinária.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 9 - Análise 4 - nicho Culinária.md
Aula 20 - Como traquear as vendas - parte 2.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 7 - Traqueamento/Aula 20 - Como traquear as vendas - parte 2.md
Aula 01 - Cadastrando produtos e serviço.md,VOICE,setup,"Setup instructions for products, services, and partners",squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 2 - Stories10x/Aula 01 - Cadastrando produtos e serviço.md
Aula 02 - Cadastrando parceiros.md,VOICE,setup,"Setup instructions for products, services, and partners",squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 2 - Stories10x/Aula 02 - Cadastrando parceiros.md
Aula 03 - Ideias fortes e infinitas.md,VOICE,ideation,Methods for generating strong content ideas,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 2 - Stories10x/Aula 03 - Ideias fortes e infinitas.md
Aula 04 - Super Sequências.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 2 - Stories10x/Aula 04 - Super Sequências.md
Aula 01 - A lógica das sequências.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 01 - A lógica das sequências.md
Aula 02 - Como utilizar os dispositivos no app.md,BOTH,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 02 - Como utilizar os dispositivos no app.md
Aula 03 - Dispositivos de engenharia social - Parte 1 (1 ao 10).md,BOTH,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 03 - Dispositivos de engenharia social - Parte 1 (1 ao 10).md
Aula 04 - Dispositivos de engenharia social - Parte 2 (11 ao 20).md,BOTH,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 04 - Dispositivos de engenharia social - Parte 2 (11 ao 20).md
Aula 05 - Dispositivos de engenharia social - Parte 3 (21 ao 30).md,VOICE,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 05 - Dispositivos de engenharia social - Parte 3 (21 ao 30).md
Aula 06 - Dispositivos de engenharia social - Parte 4 (31 ao 37).md,VOICE,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 06 - Dispositivos de engenharia social - Parte 4 (31 ao 37).md
Aula 01 - Debriefing - Análise de resultados.md,VOICE,analysis,Analysis of results and performance metrics,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 4 - Stories10x/Aula 01 - Debriefing - Análise de resultados.md
Aula 02 - Crescimento dos seguidores.md,VOICE,growth,Follower growth strategies and tactics,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 4 - Stories10x/Aula 02 - Crescimento dos seguidores.md
Aula 03 - Inbox lucrativo.md,BOTH,inbox-sales,Selling through direct messages,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 4 - Stories10x/Aula 03 - Inbox lucrativo.md
